"45","DIR-OU","97","Entité racine > Dir > DIR-OU",,"3","{""45"":""45""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-OU","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:43","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"46","DIR-SO","97","Entité racine > Dir > DIR-SO",,"3","{""46"":""46""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-SO","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:50","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"47","DIRM-MED","98","Entité racine > Dirm > DIRM-MED",,"3","{""47"":""47""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIRM-MED","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:57","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"48","DIRM-MEMN","98","Entité racine > Dirm > DIRM-MEMN",,"3","{""48"":""48""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIRM-MEMN","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:03","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"49","DIRM-NAMO","98","Entité racine > Dirm > DIRM-NAMO",,"3","{""49"":""49""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIRM-NAMO","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:10","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"50","DIRM-SA","98","Entité racine > Dirm > DIRM-SA",,"3","{""50"":""50""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIRM-SA","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:19","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"51","DM972","100","Entité racine > Outre-mer > DM972",,"3","{""51"":""51""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DM972","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:28","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"106","VPN","0","Entité racine > VPN",,"2","{""106"":""106""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"VPN","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2016-04-25 09:34:15","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"53","DREAL-AL","99","Entité racine > Dreal > DREAL-AL",,"3","{""53"":""53""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DREAL-AL","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:43","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"54","DREAL-AQ","99","Entité racine > Dreal > DREAL-AQ",,"3","{""54"":""54""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DREAL-AQ","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:06:50","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
